"Selection Sort","Insertion Sort"
4096000,164900
4302600,195900
4203200,166900
4203000,220100
4222300,161000
4145700,261900
4163700,170800
4181300,154500
3896100,159200
3630900,153400
5412300,153400
4252600,169400
4172300,159000
4174000,158900
4153900,161900
4126700,158900
4337000,158900
4127000,178000
4124800,165000
4176000,165000
4226300,167900
4190700,165100
4370100,165100
4298000,183800
4315300,171500
4295100,171600
4341100,174700
4323400,171500
4476900,171500
4299300,171600
4298700,171400
4399900,171400
4299600,174400
4297300,171600
4316000,171600
4365000,171400
3736700,171300
4181900,174000
4217300,171900
4557600,171500
4277300,171600
4295700,171400
4142800,171500
4057800,174600
4196800,171500
4196800,171600
4136700,171400
4154400,174300
4155100,203700
4126800,187200
4135200,171700
4100400,171700
4078700,171500
4036000,171600
4232200,171600
4173200,175100
4126600,171500
4089500,171300
5954800,171500
4336800,171500
4299800,174500
4453900,171500
4183000,171500
3757600,171500
3597800,171600
3367200,171200
3229000,174400
3106100,171400
2936700,171300
2941800,171300
3008600,171400
2938500,171500
3003600,174300
3115500,171400
3040500,171500
3165600,171400
3527600,171300
3500000,171500
3973200,174400
3992300,171400
4255600,171300
4042600,171400
4485300,171300
4110600,171300
3591700,174200
3141600,171600
3205800,171300
3401900,171400
2903500,171400
2876000,179500
2832700,171300
2909200,171500
2990900,171500
4157100,179800
3033500,164700
2982700,167900
2920000,164900
2825200,164600
4540000,180700
2822800,171400
3068600,171300
2982500,174500
3197900,171300
5662500,171400
4643800,171300
3674300,171300
4161500,171400
4445000,174300
3607300,171400
3526200,171500
3620000,171300
4633300,171300
3296500,171400
3563100,174500
3778400,171400
4487800,171300
4423500,171300
3747400,171400
3379300,179200
4024200,171500
3586200,171400
3715000,171500
4221900,180700
5321900,164800
5217300,167800
5310800,164900
5303400,164800
5338900,182700
5186300,171500
5319200,171400
5377600,174600
5269800,171400
5386900,171400
5602700,171300
4360500,171400
4308900,171300
4577400,174400
4103200,171400
4659900,171400
5155400,171400
5081000,171300
4431100,174300
4531800,171300
5376700,171200
4734700,171300
5154700,171300
4567700,171300
4423200,175500
5848300,171500
3368200,171300
3772500,171200
4170400,171400
3780100,171300
4275500,174500
4961600,171500
4767100,171300
4481400,171300
3888500,171300
4232100,171300
4740000,174200
4695600,171500
4956300,171200
4374500,171300
4007400,171300
3946300,171300
4342800,174300
4570500,171500
4892000,171400
3929000,171300
3906800,171300
4788800,174200
3772200,171300
3592300,171400
4207700,171400
5307800,171400
3948500,171300
3301500,174500
3574300,171300
3749900,171400
3519800,171400
3564100,171300
3893100,171200
3949800,178700
3707400,175400
3641500,171600
3771700,171300
3825700,171300
4300700,171400
3720700,174600
4130700,171400
5112900,171300
5421500,171400
5038200,171300
5503000,171300
7417800,174300
5402200,171400
5577500,171300
5318400,171300
5338200,171300
5387300,174400
5331100,171300
5339500,171400
5344500,171300
5196400,171300
4918500,171300
4718100,174600
4428600,171400
4283900,171300
4197900,171300
4252700,171400
4250200,171300
4198700,174300
4499200,171400
4010100,171300
5483900,171400
7241200,171200
4913700,171300
4444600,174400
4366400,171400
6454200,171200
7389500,171300
5090900,171400
7447200,171300
5665300,174200
4391100,171400
4134400,171300
4268500,171300
4533700,171300
4404700,174200
3503500,171400
5269300,171300
4055300,171300
5915500,171200
6207600,171300
5607300,174400
7519900,171200
5610200,171200
7592700,171200
8000300,171200
8532200,171200
8261300,174300
7180900,171200
5234400,171300
6351400,171300
9043100,171300
7103600,171200
5302900,174200
5260100,171300
7684400,171300
8722700,171300
5171500,171100
5167600,171400
5297700,174100
8160700,171300
8735400,171200
5102300,171200
4331700,171600
3715600,174400
5278500,171200
6545000,171200
4934800,171200
